,Forebay,Spill,Generation,TurbineFlow,Gen Targets,H/K,Revenue,Volume,Prices,Discharge,H/K Trueup,Inflows
0,960.0,8.28318836697e-15,600.86992269,20.0,1058.09311005,30.0434961345,20789.4255908,599.383974387,34.5988787352,20.0,34.8305695364,41.7231688409
1,965.393253929,5.91247314113e-15,1201.73984538,40.0,830.569209496,30.0434961345,55486.7259278,621.107143228,46.1719948299,40.0,35.2625060763,27.8100004122
2,962.380701954,6.54160818483e-15,1802.60976807,60.0,860.310107997,30.0434961345,76148.5003879,608.91714364,42.2434748423,60.0,35.0212359093,21.4319467893
3,952.608526871,8.28823174044e-15,1201.73984538,40.0,1206.20459157,30.0434961345,41581.6655422,570.34909043,34.6012206403,40.0,34.2385990174,39.3744454519
4,952.446854287,6.82732500328e-15,1802.60976807,60.0,1355.16299542,30.0434961345,72634.5903032,569.723535882,40.2941288735,60.0,34.225650935,26.5220086372
5,943.63524242,5.62197772353e-15,2403.47969076,80.0,1015.65991283,30.0434961345,115898.86642,536.245544519,48.2212796994,80.0,33.5199439183,20.9654846662
6,927.249708447,5.73084783171e-15,2403.47969057,79.9999999938,1125.12510767,30.0434961345,112749.362334,477.211029185,46.9108862355,79.9999999938,32.2076543542,47.200451034
7,917.602405951,7.35224493648e-15,1802.60976788,59.9999999938,1373.12204153,30.0434961345,67559.6228483,444.411480225,37.4787844003,59.9999999938,31.4350182956,20.5031932028
8,905.371585711,7.19401755961e-15,1201.73984519,39.9999999938,1163.67869087,30.0434961345,46139.3819486,404.914673434,38.3938188728,39.9999999938,30.4554726922,31.394773727
9,902.606734472,6.53093845887e-15,1201.73984538,40.0,1004.0494216,30.0434961345,50260.2580367,396.309447168,41.8229105325,40.0,30.2340404561,41.9892661706
10,903.249300139,7.9890389297e-15,600.869922689,20.0,831.652890929,30.0434961345,19846.0984101,398.298713338,33.0289429721,20.0,30.2855024482,29.2096597731
11,906.197509489,6.26370304325e-15,1201.73984538,40.0,1048.72127934,30.0434961345,52362.3419425,407.508373111,43.5721110054,40.0,30.5216195238,44.0566142878
12,907.482540946,7.11136420736e-15,600.869922689,20.0,1159.91368771,30.0434961345,22975.2592404,411.564987399,38.236660503,20.0,30.6245355089,42.8742745944
13,914.581523502,7.79924601587e-15,600.869922689,20.0,1026.39141156,30.0434961345,21344.8657121,434.439261993,35.5232720196,20.0,31.1930809551,43.7467542
14,921.706068998,6.07946500118e-15,1201.73984538,40.0,1023.63131573,30.0434961345,53770.0986208,458.186016193,44.743543145,40.0,31.7636736937,35.8684421916
15,920.483391528,7.52788661897e-15,1402.81278349,46.6927276775,1190.79038716,30.0434961345,52041.6753067,454.054458385,37.0980902935,46.6927276775,31.6657515334,23.7984791957
16,913.578669912,5.43367694731e-15,2003.68270618,66.6927276775,1025.14404829,30.0434961345,99180.40759,431.160209903,49.4990585507,66.6927276775,31.1127641157,36.4216047773
17,904.082934071,7.55903267896e-15,1402.81278349,46.6927276775,845.154986246,30.0434961345,51922.4422144,400.889087003,37.0130945666,46.6927276775,30.3522667728,43.9448783564
18,903.198508614,6.98705411256e-15,801.942860797,26.6927276775,1217.53710415,30.0434961345,31844.2046264,398.141237682,39.7088198962,26.6927276775,30.2814346413,46.1537035505
19,909.380064033,7.27700883924e-15,600.869922689,20.0,1479.9617154,30.0434961345,21363.2328304,417.602213555,35.5538395644,20.0,30.7765049075,23.7342990687
20,910.545025436,7.06170463992e-15,600.869922689,20.0,976.639780316,30.0434961345,23243.2876195,421.336512624,38.6827277282,20.0,30.8698046861,45.0270704867
21,918.188760413,6.47651650788e-15,1201.73984538,40.0,1051.58860364,30.0434961345,50660.3002216,446.36358311,42.1557963784,40.0,31.4819784278,37.3577545232
22,917.394721141,6.33307849303e-15,1201.73984538,40.0,1393.32418927,30.0434961345,51619.1647686,443.721337634,42.9536933198,40.0,31.4183851722,44.8481318655
23,918.849414587,7.39999162942e-15,600.869922689,20.0,1028.74588111,30.0434961345,21786.4289561,448.569469499,36.2581452881,20.0,31.5348890976,33.1660210779
24,922.751019413,9.46144664418e-15,600.86992269,20.0,1292.28092497,30.0434961345,18371.0723974,461.735490577,30.5741254533,20.0,31.8473619962,44.7573820168
25,929.904858446,6.14204045315e-15,1201.73984538,40.0,1022.55728926,30.0434961345,52857.2558571,486.492872594,43.9839421655,40.0,32.4203008044,44.593774172
26,931.207448202,5.58501635313e-15,1802.60976807,60.0,1422.61211905,30.0434961345,86185.0948932,491.086646766,47.8112880668,60.0,32.5246230039,23.0658216066
27,920.512476332,6.07123480313e-15,2403.47969076,80.0,1379.86534018,30.0434961345,112672.621237,454.152468372,46.8789570681,80.0,31.6680808859,49.6459200903
28,911.309451056,8.77590923706e-15,1802.60976807,60.0,1119.13059023,30.0434961345,57663.9547099,423.798388463,31.9891502484,60.0,30.9310262347,25.2016115373
29,900.227556475,1.01292474261e-14,2403.47969076,80.0,1126.58098235,30.0434961345,105625.530173,389.0,43.9469202003,80.0,30.0434961345,38.8421982838
