,Fb Targets,Forebay,Spill,Generation,TurbineFlow,Gen Targets,H/K,Revenue,Volume,Prices,Discharge,H/K Trueup,Inflows
0,0,936.0,0.0,1142.68893686,34.7232678952,1160.15703567,32.9084503311,39865.5334285,508.216043156,34.8874764972,34.7232678952,32.9084503311,27.5995969436
1,0,934.019052193,0.0,790.659629841,24.1424262317,814.587141246,32.7497999684,34725.9682298,501.092372204,43.9202495223,24.1424262317,32.7497995884,26.2677521963
2,0,934.611846219,0.0,803.198582556,24.4897959184,891.308174615,32.7972754544,38229.9222088,503.217698169,47.5970986989,24.4897959184,32.7972754544,38.0286354206
3,0,938.352829566,0.0,1080.62955316,34.6974708188,1065.47456463,31.1443320699,45194.2914676,516.756537671,41.8221872012,34.6974708188,33.0968844518,47.5602870672
4,0,941.852426812,0.0,1320.05856958,40.0,1326.01221348,33.0014642395,39807.1527472,529.61935392,30.1555958687,40.0,33.3771612467,29.5007221128
5,0,938.999794441,0.0,847.499953507,25.6806772983,895.162156722,33.0014642395,39050.0238113,519.120076032,46.0767267889,25.6806772983,33.1486987689,27.3910843289
6,0,939.466868942,0.0,1320.81197345,39.8906394675,1333.2652587,33.110824772,41903.0945521,520.830483063,31.7252534004,39.8906394675,33.1861059718,40.6073903368
7,0,939.662322111,0.0,1370.26504314,42.7034738484,1353.52203882,32.0879057288,43742.7378934,521.547233932,31.9228299025,42.7034738484,33.2017594838,32.2531954454
8,0,936.796327891,0.0,1142.6256379,34.7575011152,1124.2633287,32.8742171112,48954.9089923,511.096955529,42.8442241871,34.7575011152,32.9722268783,33.0990137335
9,0,936.338230745,0.0,1376.547054,42.0744247425,1404.64813636,32.7169548347,58388.9272137,509.438468148,42.416949747,42.0744247425,32.9355386566,22.5491976763
10,0,930.875435049,0.0,1248.46195607,40.0,1251.21992327,31.2115489018,53589.2798504,489.913241081,42.9242393729,40.0,32.4980326348,48.2003252331
11,0,933.185621311,0.0,1080.86386579,34.6302539869,1090.23035176,31.2115489018,40774.8992537,498.113566314,37.7243615446,34.6302539869,32.6830515257,37.6351758234
12,0,934.026345716,0.0,1249.24520788,39.9099545554,1235.20124143,31.3015943463,56669.6283538,501.118488151,45.3630944482,39.9099545554,32.7503837143,40.6152300723
13,0,934.223223803,0.0,1520.56878395,50.612244898,1499.95830904,30.0434961345,68015.3378826,501.823763668,44.7301947801,50.612244898,32.7661513456,35.6694523505
14,0,930.015196744,0.0,931.961512743,31.0204081633,927.445807249,30.0434961345,29843.4608648,486.88097112,32.022203124,31.0204081633,32.4291376112,30.9669446083
15,930,930.0,0.0,909.413024746,28.0441363457,1014.47170258,32.4279205298,31920.5143974,486.827507565,35.1001289061,28.0441363457,32.4279205298,38.5813992524
16,0,932.975640084,0.0,1178.75909746,36.0849395713,1240.8485484,32.6662344862,58166.9720138,497.364770472,49.3459368749,36.0849395713,32.6662344862,45.8278244047
17,0,935.692894451,0.0,751.410676827,22.8571428571,849.775279158,32.8742171112,26073.3170967,507.107655306,34.6991570666,22.8571428571,32.8838547697,31.7555378454
18,0,938.147026151,0.0,1320.26773076,39.9699848518,1407.95832747,33.0314793877,44223.4884632,516.006050294,33.495848935,39.9699848518,33.0804020061,39.2744266155
19,0,937.956123829,0.0,1078.57891878,32.6530612245,1182.05455184,33.0314793877,50548.4543202,515.310492057,46.8657911257,32.6530612245,33.0651129636,32.5752626829
20,0,937.934761604,0.0,1025.64022839,31.0204081633,1080.8509417,33.0634020993,40309.9230581,515.232693516,39.3022055322,31.0204081633,33.0634020993,41.3246768967
21,0,940.747340378,0.0,726.147238169,21.8136535859,804.504901694,33.2886572765,28263.7530305,525.536962249,38.9228954472,21.8136535859,33.2886567526,35.5530796447
22,0,944.446295494,0.0,986.984825196,29.387755102,1049.44071325,33.5849003018,47768.3552953,539.276388308,48.3982672031,29.387755102,33.5848997804,44.3321593488
23,0,948.405999695,0.0,1446.91368666,42.6792686587,1477.44694314,33.9020262562,53724.4808486,554.220792555,37.1303978557,42.6792686587,33.9020257592,21.7082969631
24,0,942.830876368,0.0,925.521742026,27.7551020408,984.396677522,33.3460039407,36079.5034812,533.249820859,38.9828805126,27.7551020408,33.4555236084,21.5417194774
25,0,941.153841661,0.0,1088.03959998,32.6530612245,1155.89566742,33.3212127494,46936.4733929,527.036438296,43.1385708698,32.6530612245,33.3212127494,43.4197487693
26,0,944.052393649,0.0,904.545468061,27.1260529349,988.708693001,33.3460039407,42945.2935139,537.803125841,47.4772082005,27.1260529349,33.5533528512,20.6262475518
27,0,942.306774136,0.0,1285.64265595,38.5546243634,1409.70770693,33.3460039407,56564.1575873,531.303320458,43.9967959412,38.5546243634,33.4135491516,38.1108105701
28,0,942.187113958,0.0,1310.77994195,39.2402491784,1345.10695025,33.4039658104,47023.3103883,530.859506664,35.8742981057,39.2402491784,33.4039657713,31.1676865566
29,940,940.0,0.0,1247.77547957,37.5510204082,1279.28056763,33.228803532,61120.5847719,522.786944042,48.9836399037,37.5510204082,33.228803532,48.0966019956
